"","INSPECTION_YEAR","ORIGIN","PEST_TAXONOMY_GENUS","PEST_TAXONOMY_SPECIES","PEST_TAXON_SIMPLE_NAME","COMMODITY_DISPLAY_NAME","COMMODITY_TAXONOMIC_DISPLAY_NAME","total_pests"
"200",2021,"Mexico","Copitarsia","decolora","decolora","Dianthus sp. - Dianthus","Dianthus sp.",1
"201",2021,"Mexico","Copitarsia","decolora","decolora","Helianthus sp. - Helianthus","Helianthus sp.",1
"202",2021,"Mexico","Copitarsia","decolora","decolora","Lilium sp. - Lilium","Lilium sp.",1
"203",2021,"Mexico","Copitarsia","decolora","decolora","Phaseolus sp.  - GREEN BEAN","Phaseolus sp. ",1
"204",2021,"Mexico","Copitarsia","decolora","decolora","Thymus vulgaris - THYME","Thymus vulgaris",1
"205",2021,"Mexico","Copitarsia","decolora","decolora",NA,NA,1
"206",2021,"Mexico","Copitarsia",NA,"Copitarsia","Aloe vera - Aloe Vera","Aloe vera",1
"207",2021,"Mexico","Copitarsia",NA,"Copitarsia","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",1
"208",2021,"Mexico","Copitarsia",NA,"Copitarsia","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",5
"209",2021,"Mexico","Copitarsia",NA,"Copitarsia","Apium graveolens var. dulce - CELERY","Apium graveolens var. dulce",40
"210",2021,"Mexico","Copitarsia",NA,"Copitarsia","Asparagus sp. - Asparagus","Asparagus sp.",1
"211",2021,"Mexico","Copitarsia",NA,"Copitarsia","Brassica oleracea var. italica  - Brassica oleracea italica","Brassica oleracea var. italica ",124
"212",2021,"Mexico","Copitarsia",NA,"Copitarsia","Brassica oleracea var. viridis  - KALE","Brassica oleracea var. viridis ",6
"213",2021,"Mexico","Copitarsia",NA,"Copitarsia","Brassica rapa subsp. pekinensis (Brassicaceae) - CHINESE CABBAGE","Brassica rapa subsp. pekinensis (Brassicaceae)",5
"214",2021,"Mexico","Copitarsia",NA,"Copitarsia","Brassica rapa subsp. rapa (Brassicaceae) - Turnip, Lvs","Brassica rapa subsp. rapa (Brassicaceae)",3
"215",2021,"Mexico","Copitarsia",NA,"Copitarsia","Capsicum annuum - BELL PEPPER","Capsicum annuum",1
"216",2021,"Mexico","Copitarsia",NA,"Copitarsia","Chenopodium berlandieri subsp. nuttalliae (Amaranthaceae) - Huazontle","Chenopodium berlandieri subsp. nuttalliae (Amaranthaceae)",14
"217",2021,"Mexico","Copitarsia",NA,"Copitarsia","Coriandrum sativum (Apiaceae) - Coriandrum sativum ","Coriandrum sativum (Apiaceae)",5
"218",2021,"Mexico","Copitarsia",NA,"Copitarsia","Cymbidium sp. - Cymbidium","Cymbidium sp.",1
"219",2021,"Mexico","Copitarsia",NA,"Copitarsia","Daucus carota subsp. sativus - CARROT","Daucus carota subsp. sativus",1
