"","INSPECTION_YEAR","ORIGIN","COMMODITY_DISPLAY_NAME","COMMODITY_TAXONOMIC_DISPLAY_NAME","total_pests"
"331",2023,"Colombia","Moluccella sp. - Moluccella","Moluccella sp.",9
"332",2023,"Colombia","Ocimum basilicum (Lamiaceae) - Ocimum basilicum ","Ocimum basilicum (Lamiaceae)",6
"333",2023,"Colombia","Origanum majorana - MARJORAM","Origanum majorana",6
"334",2023,"Colombia","Origanum vulgare - OREGANO (EUROPEAN)","Origanum vulgare",32
"335",2023,"Colombia","Ptilotus sp. - Ptilotus","Ptilotus sp.",1
"336",2023,"Colombia","Ranunculus sp. - Ranunculus","Ranunculus sp.",10
"337",2023,"Colombia","Rosa sp. - Rosa","Rosa sp.",6
"338",2023,"Colombia","Rosmarinus officinalis - ROSEMARY","Rosmarinus officinalis",2
"339",2023,"Colombia","Ruscus sp. - Ruscus","Ruscus sp.",1
"340",2023,"Colombia","Solidago sp. - Solidago","Solidago sp.",5
"341",2023,"Colombia","Tagetes sp. - Edible Flower - Pot Marigold","Tagetes sp.",2
"342",2023,"Colombia","Thymus vulgaris - THYME","Thymus vulgaris",9
"343",2023,"Colombia","Veronica sp. - Veronica","Veronica sp.",1
"344",2023,"Ecuador","Agapanthus sp. - Agapanthus","Agapanthus sp.",1
"345",2023,"Ecuador","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",33
"346",2023,"Ecuador","Amaranthus sp.  - Amaranthus","Amaranthus sp. ",10
"347",2023,"Ecuador","Ammi sp. - Ammi","Ammi sp.",1
"348",2023,"Ecuador","Anemone sp. - Anemone","Anemone sp.",9
"349",2023,"Ecuador","Aster sp.  - Aster","Aster sp. ",1
"350",2023,"Ecuador","Astrantia sp. - Astrantia","Astrantia sp.",1
"351",2023,"Ecuador","Brassica oleracea var. viridis  - KALE","Brassica oleracea var. viridis ",1
"352",2023,"Ecuador","Brassica sp.  - Brassica","Brassica sp. ",1
"353",2023,"Ecuador","Bupleurum sp. - Bupleurum","Bupleurum sp.",1
"354",2023,"Ecuador","Chrysanthemum sp.  - Chrysanthemum","Chrysanthemum sp. ",1
"355",2023,"Ecuador","Delphinium sp. - Delphinium","Delphinium sp.",1
"356",2023,"Ecuador","Dianthus sp. - Dianthus","Dianthus sp.",4
"357",2023,"Ecuador","Eryngium sp. - Eryngium","Eryngium sp.",2
"358",2023,"Ecuador","Eustoma sp. - Eustoma","Eustoma sp.",1
"359",2023,"Ecuador","Gerbera sp.  - Gerbera","Gerbera sp. ",1
"360",2023,"Ecuador","Gladiolus sp. - Gladiolus","Gladiolus sp.",2
"361",2023,"Ecuador","Helianthus sp. - Helianthus","Helianthus sp.",4
"362",2023,"Ecuador","Lilium sp. - Lilium","Lilium sp.",1
"363",2023,"Ecuador","Limonium sp. - Limonium","Limonium sp.",2
"364",2023,"Ecuador","Matthiola sp. - Matthiola","Matthiola sp.",6
"365",2023,"Ecuador","Moluccella sp. - Moluccella","Moluccella sp.",5
"366",2023,"Ecuador","Rosa sp. - Rosa","Rosa sp.",3
"367",2023,"Ecuador","Scabiosa sp. - Scabiosa","Scabiosa sp.",2
"368",2023,"Ecuador","Solidago sp. - Solidago","Solidago sp.",1
"369",2023,"Ecuador","Zantedeschia sp. - Zantedeschia","Zantedeschia sp.",1
"370",2023,"Guatemala","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",1
"371",2023,"Guatemala","Cucurbita sp. - SQUASH","Cucurbita sp.",1
"372",2023,"Guatemala","Daucus carota subsp. sativus - CARROT","Daucus carota subsp. sativus",1
"373",2023,"Guatemala","Dianthus sp. - Dianthus","Dianthus sp.",3
"374",2023,"Guatemala","Phaseolus sp.  - GREEN BEAN","Phaseolus sp. ",1
"375",2023,"Guatemala","Zea mays - CORN","Zea mays",1
"376",2023,"Honduras","Abelmoschus esculentus - OKRA","Abelmoschus esculentus",1
"377",2023,"Mexico","Allium ampeloprasum - LEEK","Allium ampeloprasum",1
"378",2023,"Mexico","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",1
"379",2023,"Mexico","Anethum graveolens - DILL","Anethum graveolens",2
"380",2023,"Mexico","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",5
"381",2023,"Mexico","Apium graveolens var. dulce - CELERY","Apium graveolens var. dulce",93
"382",2023,"Mexico","Beta vulgaris subsp. vulgaris - SWISS CHARD","Beta vulgaris subsp. vulgaris",2
"383",2023,"Mexico","Brassica oleracea var. botrytis  - CAULIFLOWER","Brassica oleracea var. botrytis ",1
"384",2023,"Mexico","Brassica oleracea var. capitata  - CABBAGE","Brassica oleracea var. capitata ",3
"385",2023,"Mexico","Brassica oleracea var. italica  - Brassica oleracea italica","Brassica oleracea var. italica ",39
"386",2023,"Mexico","Brassica oleracea var. viridis  - KALE","Brassica oleracea var. viridis ",1
"387",2023,"Mexico","Brassica rapa subsp. pekinensis (Brassicaceae) - CHINESE CABBAGE","Brassica rapa subsp. pekinensis (Brassicaceae)",2
"388",2023,"Mexico","Calendula officinalis (Asteraceae) - Calendula officinalis ","Calendula officinalis (Asteraceae)",2
"389",2023,"Mexico","Chenopodium berlandieri subsp. nuttalliae (Amaranthaceae) - Huazontle","Chenopodium berlandieri subsp. nuttalliae (Amaranthaceae)",7
"390",2023,"Mexico","Coriandrum sativum (Apiaceae) - Coriandrum sativum ","Coriandrum sativum (Apiaceae)",8
"391",2023,"Mexico","Dianthus sp. - Dianthus","Dianthus sp.",1
"392",2023,"Mexico","Dysphania ambrosioides - EPAZOTE","Dysphania ambrosioides",1
"393",2023,"Mexico","Euphorbia sp. - Euphorbia","Euphorbia sp.",1
"394",2023,"Mexico","Eustoma sp. - Eustoma","Eustoma sp.",1
"395",2023,"Mexico","Gypsophila sp. - Gypsophila","Gypsophila sp.",1
"396",2023,"Mexico","Helianthus sp. - Helianthus","Helianthus sp.",1
"397",2023,"Mexico","Lactuca sativa - LETTUCE","Lactuca sativa",3
"398",2023,"Mexico","Lactuca sativa var. capitata - Butterhead Lettuce","Lactuca sativa var. capitata",1
"399",2023,"Mexico","Lactuca sativa var. longifolia - Romaine Lettuce","Lactuca sativa var. longifolia",2
"400",2023,"Mexico","Opuntia sp. - PRICKLY PEAR PAD","Opuntia sp.",1
"401",2023,"Mexico","Pisum sativum (Fabaceae) - PEA","Pisum sativum (Fabaceae)",1
"402",2023,"Mexico","Pisum sativum var. macrocarpon  - Pisum sativum macrocarpon","Pisum sativum var. macrocarpon ",1
"403",2023,"Mexico","Portulaca oleracea - PURSLANE","Portulaca oleracea",1
"404",2023,"Mexico","Setaria sp. - Setaria","Setaria sp.",1
"405",2023,"Mexico","Solidago sp. - Solidago","Solidago sp.",1
"406",2023,"Mexico",NA,NA,20
"407",2023,"Netherlands","Delphinium sp. - Delphinium","Delphinium sp.",1
"408",2023,"Nicaragua","Coccinia grandis - IVY GOURD","Coccinia grandis",1
"409",2023,"West Bank","Mentha sp. - MINT","Mentha sp.",1
"410",2024,"Colombia","Allium schoenoprasum - CHIVE","Allium schoenoprasum",20
"411",2024,"Colombia","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",167
"412",2024,"Colombia","Anemone sp. - Anemone","Anemone sp.",4
"413",2024,"Colombia","Anethum graveolens - DILL","Anethum graveolens",6
"414",2024,"Colombia","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",4
"415",2024,"Colombia","Artemisia dracunculus (Asteraceae) - TARRAGON","Artemisia dracunculus (Asteraceae)",5
"416",2024,"Colombia","Aster sp.  - Aster","Aster sp. ",5
"417",2024,"Colombia","Astilbe sp. - Astilbe","Astilbe sp.",1
"418",2024,"Colombia","Brassica sp.  - Brassica","Brassica sp. ",1
"419",2024,"Colombia","Callistephus sp.  - Callistephus","Callistephus sp. ",3
"420",2024,"Colombia","Campanula sp. - Campanula","Campanula sp.",1
"421",2024,"Colombia","Chrysanthemum sp.  - Chrysanthemum","Chrysanthemum sp. ",51
"422",2024,"Colombia","Cocculus sp. - Cocculus","Cocculus sp.",1
"423",2024,"Colombia","Dianthus sp. - Dianthus","Dianthus sp.",21
"424",2024,"Colombia","Eryngium sp. - Eryngium","Eryngium sp.",4
"425",2024,"Colombia","Eucalyptus sp. - Eucalyptus","Eucalyptus sp.",1
"426",2024,"Colombia","Gerbera sp.  - Gerbera","Gerbera sp. ",5
"427",2024,"Colombia","Gypsophila sp. - Gypsophila","Gypsophila sp.",1
"428",2024,"Colombia","Helianthus sp. - Helianthus","Helianthus sp.",3
"429",2024,"Colombia","Hydrangea sp. - Hydrangea","Hydrangea sp.",3
"430",2024,"Colombia","Hypericum sp. - Hypericum","Hypericum sp.",1
"431",2024,"Colombia","Lactuca sativa - LETTUCE","Lactuca sativa",1
"432",2024,"Colombia","Limonium sp. - Limonium","Limonium sp.",9
"433",2024,"Colombia","Liriope sp. - Liriope","Liriope sp.",1
"434",2024,"Colombia","Mentha sp. - MINT","Mentha sp.",67
"435",2024,"Colombia","Moluccella sp. - Moluccella","Moluccella sp.",8
"436",2024,"Colombia","Ocimum basilicum (Lamiaceae) - Ocimum basilicum ","Ocimum basilicum (Lamiaceae)",6
"437",2024,"Colombia","Origanum majorana - MARJORAM","Origanum majorana",6
"438",2024,"Colombia","Origanum vulgare - OREGANO (EUROPEAN)","Origanum vulgare",24
"439",2024,"Colombia","Origanum vulgare subsp. hirtum - OREGANO (EUROPEAN)","Origanum vulgare subsp. hirtum",1
"440",2024,"Colombia","Ornithogalum sp. - Ornithogalum","Ornithogalum sp.",1
"441",2024,"Colombia","Ranunculus sp. - Ranunculus","Ranunculus sp.",2
"442",2024,"Colombia","Rosa sp. - Rosa","Rosa sp.",4
"443",2024,"Colombia","Rosmarinus officinalis - ROSEMARY","Rosmarinus officinalis",2
"444",2024,"Colombia","Solidago sp. - Solidago","Solidago sp.",3
"445",2024,"Colombia","Tagetes sp. - Tagetes","Tagetes sp.",1
"446",2024,"Colombia","Thymus vulgaris - THYME","Thymus vulgaris",6
"447",2024,"Costa Rica","Eryngium foetidum - FALSE CORIANDER","Eryngium foetidum",1
"448",2024,"Costa Rica","Gladiolus sp. - Gladiolus","Gladiolus sp.",1
"449",2024,"Dominican Republic","Capsicum sp. - Chili Pepper","Capsicum sp.",1
"450",2024,"Dominican Republic",NA,NA,1
"451",2024,"Ecuador","Achillea sp.  - Achillea","Achillea sp. ",1
"452",2024,"Ecuador","Allium schoenoprasum - CHIVE","Allium schoenoprasum",1
"453",2024,"Ecuador","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",44
"454",2024,"Ecuador","Amaranthus sp.  - Amaranthus","Amaranthus sp. ",14
"455",2024,"Ecuador","Ammi sp. - Ammi","Ammi sp.",6
"456",2024,"Ecuador","Anemone sp. - Anemone","Anemone sp.",10
"457",2024,"Ecuador","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",2
"458",2024,"Ecuador","Astrantia sp. - Astrantia","Astrantia sp.",4
"459",2024,"Ecuador","Brassica sp.  - Brassica","Brassica sp. ",1
"460",2024,"Ecuador","Bupleurum sp. - Bupleurum","Bupleurum sp.",1
"461",2024,"Ecuador","Chrysanthemum sp.  - Chrysanthemum","Chrysanthemum sp. ",3
