"COMMODITY_DISPLAY_NAME","COMMODITY_TAXONOMIC_DISPLAY_NAME","INSPECTION_PATHWAY","total_pests"
"Other","Amaranthus tricolor (Amaranthaceae)","Land Border - Truck - Cargo - CBP",1
"Other","Ammi sp. ","Airport - Aircraft - Cargo - CBP",1
"Other","Ammi sp. ","Land Border - Truck - Cargo - CBP",1
"Other","Ananas comosus (Bromeliaceae)","Land Border - Truck - Cargo - CBP",1
"Other","Anigozanthos sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Annona squamosa","Airport - Aircraft - Cargo - PIS",1
"Other","Aralia sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Aranthera sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Artocarpus heterophyllus","Maritime Port - Vessel - Cargo - CBP",1
"Other","Ascomycota","Airport - Aircraft - Cargo - CBP",1
"Other","Asparagus sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Asparagus sp.","Land Border - Truck - Conveyance - CBP",1
"Other","Aster sp. ","Land Border - Truck - Conveyance - CBP",1
"Other","Berzelia sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Bolbitis heudelotii","Airport - Aircraft - Cargo - PIS",1
"Other","Brassica napus (Brassicaceae)","Land Border - Truck - Cargo - CBP",1
"Other","Brassica oleracea var. alboglabra italica","Maritime Port - Vessel - Cargo - CBP",1
"Other","Brassica rapa subsp. narinosa (Brassicaceae)","Land Border - Truck - Cargo - CBP",1
"Other","Brassica rapa subsp. nipposinica (Brassicaceae)","Land Border - Truck - Cargo - CBP",1
"Other","Brassica sp. ","Land Border - Truck - Cargo - CBP",1
"Other","Brassocattleya sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Brunia sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Calendula sp. ","Land Border - Truck - Cargo - CBP",1
"Other","Callisia sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Campanula sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Capsicum baccatum","Airport - Aircraft - Cargo - CBP",1
"Other","Carica papaya (Caricaceae)","Land Border - Truck - Cargo - CBP",1
"Other","Carthamus sp. ","Land Border - Truck - Conveyance - CBP",1
"Other","Cattleya sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Cattlianthe sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Celosia argentea","Land Border - Truck - Cargo - CBP",1
"Other","Ceratopteris siliquosa","Airport - Aircraft - Cargo - PIS",1
"Other","Chamaedorea sp. ","Land Border - Truck - Conveyance - CBP",1
"Other","Chamelaucium sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Chlorophytum sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Cicer arietinum (Fabaceae)","Land Border - Truck - Cargo - CBP",1
"Other","Cichorium intybus var. foliosum ","Airport - Aircraft - Cargo - CBP",1
"Other","Citrullus lanatus","Maritime Port - Vessel - Cargo - CBP",1
"Other","Citrus aurantiifolia (Rutaceae)","Maritime Port - Vessel - Cargo - CBP",1
"Other","Clematis sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Cocculus sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Codiaeum sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Codiaeum variegatum","Airport - Aircraft - Cargo - PIS",1
"Other","Coleus sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Colocasia esculenta","Airport - Aircraft - Cargo - PIS",1
"Other","Colocasia esculenta","Airport - Aircraft - Cargo - Predeparture",1
"Other","Coprosma sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Cordyline sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Cordyline terminalis","Airport - Aircraft - Cargo - PIS",1
"Other","Corylus sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Cosmos sp. ","Land Border - Truck - Cargo - CBP",1
"Other","Crassula sp.","Land Border - Truck - Cargo - CBP",1
"Other","Crassulaceae","Airport - Aircraft - Mail - PIS Mail",1
"Other","Crataegus sp.","Land Border - Truck - Cargo - CBP",1
"Other","Crinum sp.","Airport - Aircraft - Cargo - PIS",1
"Other","Crocosmia sp.","Land Border - Truck - Conveyance - CBP",1
"Other","Cucumis sativus","Airport - Aircraft - Cargo - CBP",1
"Other","Cucumis sativus","Land Border - Truck - Cargo - CBP",1
"Other","Cucurbita moschata","Land Border - Truck - Cargo - CBP",1
"Other","Cucurbita pepo subsp. pepo","Land Border - Truck - Cargo - CBP",1
"Other","Cucurbita pepo subsp. pepo","Maritime Port - Vessel - Cargo - CBP",1
"Other","Cucurbita sp.","Airport - Aircraft - Cargo - CBP",1
"Other","Cyclospermum leptophyllum (Apiaceae)","Land Border - Truck - Cargo - CBP",1
"Other","Dahlia sp.","Land Border - Truck - Cargo - CBP",1
